APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Blandi; Nicolás;Argentinos;DEL;2500000
Blengio; Juan Carlos;Tigre;DEF;3800000
Bogado; Mauro;Argentinos;VOL;2600000
Bogino; Ignacio;Arsenal;DEF;2000000
Bologna; Enrique;Banfield;ARQ;4300000
Bonnín; Yair;Gimnasia LP;ARQ;300000
Bonomo; Luciano;Estudiantes;DEF;300000
Bordagaray; Fabián;River;DEL;3700000
Botta; Rubén;Tigre;VOL;3000000
Bottaro; Julián;Huracán;DEL;900000
Bottinelli; Jonathan;San Lorenzo;DEF;4800000
Bou; Gustavo;River;DEL;2000000
Brau; Mariano;All Boys;DEF;1300000
Braña; Rodrigo;Estudiantes;VOL;5200000
Brítez Ojeda; Marcos;Huracán;VOL;2000000
Broggi; Ariel;Quilmes;DEF;2600000
Brum; Roberto;Olimpo;VOL;3000000
Buonanotte; Diego;River;VOL;6900000
Burrai; Javier;Arsenal;ARQ;300000
Busse; Walter;Independiente;VOL;3900000
Bustamante; Marcelo;Banfield;DEF;3500000
Bustos; Maximiliano;Banfield;VOL;3000000
Cabrera; Nicolás;Independiente;VOL;4000000
Cáceres; Marcos;Racing;DEF;4000000
Cáceres; Pablo;Tigre;DEF;2800000
Cáceres; Samuel;Independiente;DEF;800000
Caffa; Juan Pablo;Arsenal;VOL;4100000
Cafferatti; Leonel;Racing;ARQ;300000
Cahais; Matías;Racing;DEF;3800000
Caire; Maximiliano;Colón;DEF;1700000
Calviño; Lucas;Huracán;ARQ;1000000
Calvo; José María;Boca;DEF;2300000
Camacho; Néstor;Newell's;VOL;3600000
Camargo; Alejandro;Godoy Cruz;VOL;1600000
Cambiasso; Nicolás;All Boys;ARQ;3900000
Camoranesi; Mauro;Lanús;VOL;5400000
Campestrini; Cristian;Arsenal;ARQ;5400000
Cámpora; Javier;Huracán;DEL;4000000
Candia; Salustiano;Colón;DEF;2500000
Caneo; Miguel;Quilmes;VOL;3600000
Cano; Germán;Colón;DEL;2200000
Canteros; Héctor;Vélez;VOL;1900000
Capurro; Alejandro;Gimnasia LP;VOL;3500000
Caranta; Mauricio;Lanús;ARQ;4700000
Carmona; Giancarlo;San Lorenzo;DEF;3200000
Carranza; César;Lanús;DEL;4300000
Carrasco; Javier;Lanús;VOL;1600000
Carrasco; Mauricio;Quilmes;DEL;1500000
Carrera; Juan Ignacio;Argentinos;ARQ;2000000
Carrillo; Guido;Estudiantes;DEL;300000
Carrizo; Juan Pablo;River;ARQ;6400000
Carrusca; Marcelo;Banfield;VOL;4500000
Caruso; Leandro;River;DEL;4000000
Caruzzo; Matías;Boca;DEF;5200000
Casais; Eduardo;Olimpo;DEF;2900000
Casco; Milton;Gimnasia LP;DEF;1900000
Castaño; Diego;Tigre;VOL;4800000
Casteglione; Carlos;All Boys;DEF;4000000
Castillejos; Gonzalo;Lanús;DEL;4500000
Castillo; Jairo;Independiente;DEL;4500000
Castillón; Federico;Olimpo;DEL;2000000
Castro; Lucas;Gimnasia LP;VOL;3200000
Cauteruccio; Martín;Quilmes;DEL;3000000
Ceballos; Lucas;San Lorenzo;DEL;300000
Ceballos; Lucas;Godoy Cruz;DEF;1300000
Cellay; Christian;Boca;DEF;4900000
Cepeda; Christian;Arsenal;DEF;500000
Cerro; Francisco;Quilmes;VOL;3000000
Chaparro; Lucas;San Lorenzo;DEF;300000
Chávez; Cristian;Boca;VOL;4000000
Chichizola; Leandro;River;ARQ;1300000
Choy González; Gonzalo;Arsenal;VOL;3500000
Cichero; Gabriel;Newell's;DEF;3700000
Cirigliano; Ezequiel;River;VOL;2200000
Cobelli; Juan Manuel;Newell's;DEL;1200000
Cobo; Juan Manuel;Olimpo;VOL;3000000
Colazo; Nicolás;Boca;VOL;2300000
Colombatti; Gabriel;Racing;DEF;300000
Colombini; Ignacio;Racing;DEL;500000
Comachi; Martín;Colón;DEL;300000
Córdoba; Jorge;Gimnasia LP;DEL;3800000
Coronel; Leandro;Quilmes;VOL;2500000
Coronel; Maximiliano;River;DEF;1500000
Correa; Jorge Iván;Vélez;DEL;300000
Corvalán; Claudio;Quilmes;DEF;1800000
Cubero; Fabián;Vélez;VOL;4400000
Cura; Kevin;Huracán;DEF;1700000
Curbelo; Jorge;Godoy Cruz;DEF;4000000
Curima; Agustín;Gimnasia LP;DEL;300000
Curuchet; Facundo;Colón;DEL;900000
D'Angelo; Sebastián;Boca;ARQ;300000
Damonte; Israel;Godoy Cruz;VOL;2500000
Daneri; Esteban;Huracán;ARQ;300000
De Olivera; Jorge;Racing;ARQ;5000000
De Souza; Diego;Banfield;VOL;3500000
Defederico; Matías;Independiente;DEL;4900000
Delfino; Alejandro;Banfield;DEF;900000
Delmonte; Nicolás;Independiente;DEL;800000
Desábato; Leandro;Estudiantes;DEF;5600000
Desábato; Leandro Luis;Vélez;VOL;400000
Devaca; José;Banfield;DEF;2300000
Di Grazia; Lucas;All Boys;ARQ;400000
Di Gregorio; Matías;Quilmes;DEF;1800000
Díaz; Cristian;Newell's;VOL;900000
Díaz; Damián;Colón;VOL;4700000
Díaz; Gabriel;Olimpo;DEF;1100000
Díaz; Gastón;Tigre;VOL;1800000
Díaz; Gastón;Vélez;DEF;3600000
Díaz; Juan Manuel;River;DEF;3500000
Díaz; Leandro;Lanús;DEL;2200000
Díaz; Marcos;Colón;ARQ;1300000
Díaz; Mauro;River;VOL;3000000
Dobler; Mauro;Racing;ARQ;500000
Dolci; Pablo;Newell's;VOL;2200000
Domínguez; Eduardo;All Boys;DEF;4500000
Domínguez; Federico;Olimpo;DEF;3900000
Domínguez; Sebastián;Vélez;DEF;4800000
Donda; Mariano;Godoy Cruz;VOL;2800000
Dos Santos; Mauro;Banfield;DEF;3400000
Dutari; Francisco;Godoy Cruz;DEF;3500000
Echeverría; Mariano;Tigre;DEF;4500000
Encina; Hernán;Gimnasia LP;VOL;4400000
Erbes; Cristian;Boca;VOL;2700000
Ereros; Sebastian;All Boys;DEL;3800000
Erramuspe; Rodrigo;Lanús;DEF;2600000
Erviti; Walter;Boca;VOL;10100000
Escudero; Sergio;Argentinos;DEF;3600000
Esmerado; Gastón;Arsenal;VOL;3000000
Estigarribia; Marcelo;Newell's;VOL;3800000
Fabbiani; Cristian;All Boys;DEL;4100000
Faccioli; Emir;Godoy Cruz;DEF;3500000
Faravelli; Lorenzo;Newell's;VOL;300000
Fariña; Luis Carlos;Racing;VOL;1300000
Fernández; Augusto;Vélez;VOL;4800000
Fernández; Federico;Estudiantes;DEF;4300000
Fernández; Gastón;Estudiantes;DEL;9200000
Fernández; Ignacio;Gimnasia LP;VOL;500000
Fernández; Roberto;Racing;ARQ;2800000
Ferrari; Jonathan;San Lorenzo;DEF;2900000
Ferrari; Paulo;River;DEF;5500000
Ferreira; Brian;Vélez;DEL;300000
Ferrero; Alexis;River;DEF;4800000
Ferreyra; Facundo;Banfield;DEL;1500000
Fideleff; Ignacio;Newell's;DEF;2400000
Filippetto; Ezequiel;Huracán;DEF;2800000
Fontanello; Pablo;Gimnasia LP;DEF;3800000
Fontanini; Fabricio;Quilmes;DEF;2900000
Franco; Guillermo;Vélez;DEL;4900000
Franzoia; Andrés;Arsenal;DEL;3800000
Fredes; Hernán;Independiente;VOL;4000000
Freire; Federico;Vélez;VOL;300000
Frezzotti; Alejandro;Gimnasia LP;VOL;2800000
Fuentes; Fabricio;Newell's;DEF;4400000
Fuertes; Esteban;Colón;DEL;8000000
Funes Mori; José Ramiro;River;DEF;300000
Funes Mori; Rogelio;River;DEL;4700000
Furch; Julio;Olimpo;DEL;1800000
Gabbarini; Adrián;Independiente;ARQ;4500000
Galeano; Leonel;Independiente;DEF;4300000
Galíndez; Hernán;Quilmes;ARQ;3500000
Galmarini; Martín;Tigre;VOL;3300000
Galván; Diego;Olimpo;VOL;3700000
Gaona Lugo; Orlando;Boca;DEL;1000000
Garcé; Ariel;Colón;DEF;4500000
García; Cristian;Banfield;DEL;3200000
García; Gonzalo;Racing;DEF;2000000
García; Javier;Boca;ARQ;4000000
García; Zelmar;Godoy Cruz;DEF;2700000
Garnier; Pablo;Quilmes;VOL;2500000
Gentiletti; Santiago;Argentinos;DEF;4300000
Gerlo; Danilo;Quilmes;DEF;4000000
Gigliotti; Emanuel;All Boys;DEL;3500000
Giménez; Matías;San Lorenzo;VOL;3800000
Giordano; Matías;All Boys;ARQ;800000
Gissi; Dylan;Estudiantes;DEF;300000
Giusti; Jorge;Vélez;DEL;300000
Godoy; Fernando;Independiente;VOL;2000000
Goltz; Paolo Duval;Lanús;DEF;4500000
Gómez; Facundo;Quilmes;DEF;800000
Gómez; Jonatan;Banfield;VOL;3500000
Gómez; Martín;Tigre;DEL;3400000
Gómez; Ricardo;Colón;VOL;3400000
González Pirez; Leandro;River;DEF;500000
González; Adrián;Arsenal;DEF;3500000
González; Arnaldo;Quilmes;VOL;300000
González; César;Gimnasia LP;VOL;4100000
González; Cristian;Newell's;DEL;300000
González; Diego;Lanús;VOL;2500000
González; Esteban;Tigre;VOL;3800000
González; Juan Nicolás;Vélez;VOL;300000
González; Leandro;Estudiantes;DEL;3500000
González; Sebastián;San Lorenzo;VOL;2500000
Goux; Marcelo;Colón;DEF;4100000
Gracián; Leandro;Independiente;VOL;4300000
Graciani; Gabriel;Colón;VOL;500000
Graf; Claudio;Gimnasia LP;DEL;3800000
Grana; Hernán;Quilmes;DEF;3500000
Grassi; Franco;Banfield;ARQ;300000
Grazzini; Sebastián;All Boys;VOL;4300000
Guerra; Claudio;Huracán;DEL;3500000
Guillermo Rojas; Julián;Banfield;VOL;400000
Gutiérrez; Fernando;San Lorenzo;VOL;600000
Gutiérrez; Teófilo;Racing;DEL;4300000
Guzmán; Nahuel;Newell's;ARQ;1000000
Hauche; Gabriel;Racing;DEL;7300000
Hernández; Emilio;Argentinos;VOL;3200000
Hernández; Pablo;Argentinos;VOL;2800000
Herner; Diego;San Lorenzo;DEF;3000000
Higuaín; Federico;Colón;DEL;5300000
Hoyos; Lucas;Newell's;ARQ;500000
Hoyos; Michael;Estudiantes;VOL;2800000
Hoyos; Santiago;Lanús;DEF;4000000
Ibáñez; Matías;Olimpo;ARQ;1000000
Ibáñez; Nelson;Godoy Cruz;ARQ;4400000
Iberbia; Raúl;Estudiantes;DEF;1900000
Imbert; Juan Martín;Boca;DEL;300000
Insaurralde; Juan Manuel;Boca;DEF;5300000
Iriarte; Hugo;Gimnasia LP;DEF;1800000
Islas; Daniel;Tigre;ARQ;4700000
Itabel; Kevin Fabián;Tigre;VOL;400000
Izquierdoz; Carlos;Lanús;DEF;1300000
Jara; Leonardo;Estudiantes;VOL;500000
Jerez; Pablo;Olimpo;DEF;3000000
Kalinski; Enzo;Quilmes;VOL;2800000
Krupoviesa; Juan;Arsenal;DEF;3600000
Kruspzky; Lucas;Independiente;DEF;800000
Laba; Matías;Argentinos;VOL;400000
Ladino; Santiago;Banfield;DEF;2800000
Lagos; Diego;Lanús;DEL;3100000
Lamela; Erik;River;VOL;4500000
Lanaro; Franco;Tigre;DEL;300000
Lanzini; Manuel;River;VOL;2900000
Larrivey; Joaquín;Colón;DEL;5100000
Laso; Joaquín;Tigre;DEF;300000
Ledesma; Cristian;Colón;VOL;4100000
Ledesma; Eduardo;Lanús;VOL;3700000
Leguizamón; Luciano;Arsenal;DEL;5400000
Lema; Cristian;Newell's;DEF;1000000
Lemos; Rodrigo;Huracán;DEF;2000000
Lencina; Emiliano;Huracán;DEL;800000
Leone; Ramiro;Tigre;VOL;3900000
Lesman; Germán;Colón;DEL;900000
Licht; Lucas;Racing;DEF;4200000
Litre; Marcos;Olimpo;DEL;1000000
Lluy; Braian;Racing;DEF;2500000
Longo; Sebastián;Olimpo;VOL;3000000
Lopes; Hernán;Lanús;DEF;600000
López; Hernán Rodrigo;Estudiantes;DEL;5500000
López; Lisandro;Arsenal;DEF;4000000
López; Martín;Huracán;DEF;300000
López; Víctor;Banfield;DEF;5000000
López; Víctor David;All Boys;VOL;500000
Lucchetti; Cristian;Boca;ARQ;5000000
Lugo; Maximiliano;Lanús;DEF;2700000
Lugüercio; Pablo;Racing;DEL;5200000
Luna; Sebastián;San Lorenzo;DEF;2800000
Luque; Carlos;Colón;DEL;300000
Machín; Gastón;Huracán;VOL;3500000
Machuca; Alexis;Newell's;DEF;2400000
Maciel; Gerardo;Banfield;VOL;300000
Madeo; Carlos;All Boys;DEF;1400000
Magallán; Lisandro;Gimnasia LP;DEF;500000
Maggiolo; Ezequiel;Olimpo;DEL;3800000
Maidana; Cristian;Huracán;VOL;4000000
Maidana; Jonatan;River;DEF;4800000
Mancuello; Federico;Independiente;VOL;3000000
Marchesín; Agustín;Lanús;ARQ;4000000
Marcone; Iván;Arsenal;VOL;2900000
Mareque; Lucas;Independiente;DEF;4900000
Marín; Leandro Lucas;Boca;DEF;600000
Martínez; Juan Manuel;Vélez;DEL;12000000
Martínez; Matías;Racing;DEF;4900000
Martínez; Nicolás;Independiente;VOL;2000000
Martínez; Román;Tigre;VOL;4900000
Martínez; Sebastián;Quilmes;DEF;3000000
Masuero; Abel;Gimnasia LP;DEF;2400000
Mateo; Diego;Newell's;VOL;3600000
Matheu; Carlos;Independiente;DEF;4900000
Matos; Mauro;All Boys;DEL;4500000
Mauri; Juan Alberto;Olimpo;VOL;500000
Mayorga; Sebastián;Racing;VOL;1000000
Méndez; Emiliano;Gimnasia LP;VOL;500000
Méndez; Gabriel;Banfield;DEL;3500000
Mendoza; Franco;Arsenal;DEL;3600000
Mendoza; Humberto;Colón;DEF;3600000
Menéndez; Gonzalo;Arsenal;DEF;1000000
Menossi; Lucas;Tigre;VOL;300000
Menseguez; Juan Carlos;San Lorenzo;DEL;5000000
Mercado; Gabriel;Estudiantes;DEF;6000000
Mercier; Juan Ignacio;Argentinos;VOL;6800000
Meza; Fernando;San Lorenzo;DEF;3000000
Migliore; Pablo;San Lorenzo;ARQ;5000000
Millán; Nicolás;Tigre;DEL;1000000
Miranda; Pablo;Godoy Cruz;DEL;1500000
Monetti; Fernando;Gimnasia LP;ARQ;1200000
Montiglio; César;Huracán;VOL;3600000
Montoya; Marcelo;Vélez;ARQ;4500000
Monzón; Gastón;Huracán;ARQ;4800000
Monzón; Luciano Fabián;Boca;DEF;3500000
Morales; Angel;Huracán;VOL;4000000
Morales; Diego;Tigre;VOL;3900000
Morales; Diego Hernán;Quilmes;ARQ;1000000
Morales; Juan José;Quilmes;DEL;4400000
Moralez; Maximiliano;Vélez;VOL;11500000
Moreira; Ricardo;Gimnasia LP;DEF;2600000
Moreno y Fabianesi; Iván;Colón;VOL;4900000
Moreno; Giovanni;Racing;VOL;10000000
Mosca; Claudio;Arsenal;VOL;3500000
Mosset; Marcelo;Olimpo;DEF;3000000
Mouche; Pablo;Boca;DEL;4900000
Moyano; Gabriel Oscar;Godoy Cruz;VOL;300000
Moyano; Sebastián;Godoy Cruz;ARQ;300000
Mugni; Lucas;Colón;VOL;500000
Mussis; Franco;Gimnasia LP;VOL;300000
Mustafá; Daniel;Tigre;DEF;2500000
Narvay; Enrique;Quilmes;DEL;1500000
Navarro; Alvaro;Godoy Cruz;DEL;3000000
Navarro; Hilario;Independiente;ARQ;6500000
Navarro; Leandro;San Lorenzo;VOL;300000
Navarro; Nicolás;Argentinos;ARQ;4800000
Neira; Juan;Gimnasia LP;DEL;3700000
Nervo; Hugo Martín;Arsenal;DEF;3000000
Niell; Franco;Argentinos;DEL;4800000
Nieto; Luciano;Huracán;DEL;2000000
Nieva; Brian;Independiente;DEL;800000
Noir; Ricardo;Boca;DEL;2500000
Núñez; Fabricio;Godoy Cruz;DEL;2900000
Núñez; Gervasio;Quilmes;VOL;3500000
Núñez; Leonel;Independiente;DEL;5700000
Núñez; Maximiliano;Estudiantes;VOL;3300000
Oberman; Gustavo;Argentinos;DEL;3000000
Obolo; Mauro Iván;Arsenal;DEL;5300000
Ocampo; Darío;Argentinos;VOL;2500000
Ojeda; Luis;Argentinos;ARQ;2500000
Olivera; Emanuel;Vélez;DEF;900000
Olmedo; Nicolás;Godoy Cruz;VOL;4800000
Orban; Lucas;River;DEF;1500000
Orcellet; Catriel;Arsenal;ARQ;1500000
Orion; Agustín;Estudiantes;ARQ;5900000
Ortega; Ariel;All Boys;DEL;6600000
Ortigoza; Néstor;San Lorenzo;VOL;8500000
Ortiz; Fernando;Vélez;DEF;4100000
Ortiz; Jorge;Arsenal;VOL;3900000
Ospina; Luciano;Huracán;DEF;600000
Oviedo; Nahuel;Huracán;DEL;400000
Pacheco; Germán;Gimnasia LP;DEL;3000000
Pagés; Fernando;Huracán;VOL;1000000
Palermo; Martín;Boca;DEL;12800000
Palomino; José Luis;San Lorenzo;DEF;1600000
Panceri; Armando;All Boys;DEF;1600000
Papa; Emiliano;Vélez;DEF;4900000
Paparatto; Norberto;Tigre;DEF;3000000
Paredes; Leandro;Boca;DEL;500000
Parra; Facundo;Independiente;DEL;6000000
Pasini; Mariano;Tigre;VOL;1500000
Pavone; Mariano;River;DEL;8500000
Pedrozo; Fabricio;San Lorenzo;DEL;300000
Pellegrino; Fernando;Gimnasia LP;ARQ;800000
Pellerano; Cristian;Independiente;VOL;3700000
Pelletieri; Agustín;Lanús;VOL;4800000
Peratta; Sebastián;Newell's;ARQ;6200000
Perea; Emanuel;All Boys;VOL;2000000
Pereyra; Guillermo;San Lorenzo;VOL;4000000
Pereyra; Hernán;Banfield;VOL;500000
Pereyra; Juan Pablo;Estudiantes;DEL;4000000
Pereyra; Roberto;River;VOL;3300000
Pérez; Damián Alfredo;Arsenal;DEF;1600000
Pérez; Enzo;Estudiantes;VOL;9500000
Pérez; Jorge Iván;Independiente;VOL;800000
Pernía; Mariano;Tigre;DEF;3900000
Peruzzi; Gino;Vélez;DEF;300000
Pezzella; Germán;River;DEF;800000
Peña; Agustín;Huracán;DEF;1900000
Peñalba; Gabriel;Estudiantes;VOL;4000000
Piarrou; Cristian;Gimnasia LP;DEF;2000000
Pillud; Iván;Racing;DEF;4800000
Pío; Emmanuel;Banfield;VOL;2500000
Pistone; Federico;Argentinos;DEF;500000
Pizarro; Guido;Lanús;VOL;4300000
Piñero da Silva; Jorge;Godoy Cruz;DEL;1500000
Placente; Diego;San Lorenzo;DEF;4600000
Poclaba; Raúl;Racing;VOL;800000
Pozo; Diego;Colón;ARQ;5000000
Prediger; Sebastián;Colón;VOL;4400000
Prol; Mauricio;All Boys;VOL;800000
Prósperi; Gonzalo;Argentinos;DEF;4100000
Pucheta; Jorge;Lanús;ARQ;300000
Quiles; Martín;Quilmes;DEF;1800000
Quilez; Ismael;Colón;DEF;3000000
Quintana; Alejandro;Huracán;VOL;900000
Quintana; Carlos;Huracán;DEF;2900000
Quinteros; Marcelo;Banfield;VOL;3900000
Quiroga; Facundo;Huracán;DEF;4000000
Quiroga; Juan;Colón;DEF;3200000
Quiroga; Matías;Huracán;VOL;2800000
Raldes; Ronald;Colón;DEF;3800000
Ramírez; Alfredo;Colón;VOL;3000000
Ramírez; David;Vélez;VOL;8600000
Ramírez; Rubén;Godoy Cruz;DEL;6600000
Raymonda; Santiago;Quilmes;VOL;3800000
Razzotti; Franco;Vélez;VOL;4000000
Ré; Germán;Estudiantes;DEF;5000000
Regueiro; Mario;Lanús;VOL;5500000
Rescaldani; Ezequiel;Vélez;DEL;500000
Respuela; Juan Cruz;Racing;VOL;600000
Reynoso; Diego;Olimpo;DEF;2300000
Reynoso; Salvador;San Lorenzo;VOL;2000000
Ricci; Marcelo;Olimpo;VOL;1100000
Rieloff; Boris;Gimnasia LP;DEF;3000000
Rimoldi; Lucas;All Boys;VOL;3600000
Rinaudo; Fabián;Gimnasia LP;VOL;4800000
Riquelme; Juan Román;Boca;VOL;9500000
Rius; Ciro;Argentinos;DEL;2500000
Rivero; Diego;Boca;VOL;4500000
Rodales; Andrés;Tigre;DEF;2900000
Rodríguez; Clemente;Boca;DEF;5100000
Rodríguez; Diego;Independiente;ARQ;600000
Rodríguez; Juan Pablo;All Boys;VOL;3800000
Rodríguez; Lucas;Argentinos;DEF;600000
Rodríguez; Luis;Newell's;DEL;4400000
Rodríguez; Patricio;Independiente;VOL;3800000
Roffes; Guillermo;Huracán;DEL;900000
Rojano; Antonio;Gimnasia LP;DEL;1000000
Rojas; Ariel;Godoy Cruz;VOL;4600000
Roldán; Israel;Gimnasia LP;VOL;300000
Rolle; Martín;Olimpo;VOL;2800000
Romagnoli; Leandro;San Lorenzo;VOL;6300000
Román; Adalberto;River;DEF;4800000
Romea; Joaquín;Gimnasia LP;DEL;500000
Romeo; Bernardo;Quilmes;DEL;3000000
Romero; Andrés;Argentinos;DEL;1500000
Romero; Jonatan;Tigre;DEF;300000
Romero; Sebastián Ariel;Banfield;VOL;4500000
Romero; Silvio;Lanús;DEL;3000000
Roncaglia; Facundo;Estudiantes;DEF;4100000
Rosada; Ariel;Banfield;VOL;4000000
Rosales; Pablo;Estudiantes;DEF;300000
Rudler; Matias Ezequiel;All Boys;VOL;400000
Rui; Henry;All Boys;DEL;400000
Ruiz; Enzo Adrián;Boca;DEF;600000
Ruiz; Federico;Gimnasia LP;VOL;300000
Rusculleda; Sebastián;San Lorenzo;VOL;3000000
Russo; Roberto;Godoy Cruz;DEF;2900000
Sabia; Juan;Argentinos;DEF;3700000
Sainz; Nicolás;Racing;DEF;700000
Salcedo; Santiago;Argentinos;DEL;5000000
Salgueiro; Juan;San Lorenzo;DEL;4700000
Salinas; Rodrigo;Godoy Cruz;DEL;3500000
Salom; Carlos;Olimpo;DEL;2000000
Salvatierra; Daniel;Newell's;DEL;2000000
San Román; José;San Lorenzo;DEF;2900000
Sánchez Miño; Juan Manuel;Boca;VOL;600000
Sánchez Prette; Christian;Argentinos;VOL;4000000
Sánchez; Carlos;Godoy Cruz;VOL;5000000
Sánchez; Fernando;All Boys;VOL;2800000
Sánchez; Matías;Estudiantes;VOL;3500000
Sánchez; Nicolás;Godoy Cruz;DEF;4200000
Sánchez; Sergio;Godoy Cruz;VOL;1800000
Santillo; Pablo;Banfield;ARQ;2500000
Sapetti; Leandro;Gimnasia LP;DEF;2500000
Sardella; Federico;Banfield;VOL;1500000
Sarulyte; Matías;Estudiantes;DEF;800000
Sauro; Gastón;Boca;DEF;1900000
Scaglia; Mauricio;Newell's;DEF;300000
Scapparoni; Maximiliano;Boca;ARQ;300000
Scheffer; Juan Pablo;Olimpo;DEF;1700000
Schiavi; Rolando;Newell's;DEF;6000000
Segovia; Favio;Banfield;DEF;1800000
Sena; Sergio;Arsenal;VOL;3900000
Sessa; Gastón;Gimnasia LP;ARQ;5000000
Sierra; Matías;Arsenal;VOL;600000
Sigali; Leonardo;Godoy Cruz;DEF;4800000
Sills; Juan Ignacio;Vélez;DEF;300000
Silva; Agustín;Estudiantes;ARQ;300000
Silva; Facundo;Arsenal;VOL;1300000
Silva; Santiago;Vélez;DEL;12300000
Silvera; Andrés;Independiente;DEL;8000000
Simón; Lucas;Tigre;DEL;2800000
Solignac; Luis;Banfield;DEL;2300000
Somoza; Leandro;Boca;VOL;5000000
Soplan; Darío;Huracán;VOL;1900000
Soto; Carlos;All Boys;DEF;2300000
Soto; Gonzalo;Gimnasia LP;DEF;500000
Soto; Santiago;Colón;VOL;1300000
Sperduti; Mauricio;Newell's;VOL;5000000
Stefanatto; Darío;Estudiantes;VOL;2300000
Stracqualursi; Denis;Tigre;DEL;5700000
Taborda; César;Estudiantes;ARQ;2000000
Tagliafico; Nicolás;Banfield;DEF;600000
Tejera; Juan;Olimpo;DEF;2300000
Telechea; Fernando;Tigre;DEL;2900000
Tessoro; Facundo;All Boys;VOL;700000
Tobio; Fernando;Vélez;DEF;3400000
Toledo; Gustavo;Banfield;DEF;1000000
Tombolini; Laureano;Olimpo;ARQ;3800000
Tonso; Martín;Newell's;VOL;300000
Toranzo; Patricio;Racing;VOL;6900000
Torassa; Agustín;All Boys;DEL;2500000
Torrén; Miguel;Argentinos;DEF;2800000
Torres; Adrián;Godoy Cruz;VOL;900000
Torres; Aureliano;San Lorenzo;DEF;4500000
Torres; Diego;Quilmes;DEL;3100000
Torres; Juan Manuel;San Lorenzo;VOL;4200000
Torrico; Sebastián;Godoy Cruz;ARQ;4500000
